company_name,product_name,sha1
Malwarebytes,AdwCleaner,7463365265141da80b59f1e539f5aa1d4b0bf2e5
BMD Systemhaus GmbH,BMDNTCS,fe9f9b55e332344b798e4043c23fc98afdfcd274
Skymatic GmbH,Cryptomator,e90dc120e57504b37addfbcaac2e510657e4752b
Swiss Academic Software,Citavi,b901a115c2ac8c6d5281a052bfa86afd6b7bcbaa
Mozilla Corporation,Tor Browser,e66b9b73b916273397fb7c248bf2f77ed3694bfc
Foxit Corporation,Foxit Reader,d2361feb183a2c36b30c65663db7a419df8e5a20
Monitoring Client,BitLocker,d1da0d23083ecf6018bae998c104fa9ba573bcce
AgileBits Inc.,1Password,a5f45f672ad421ab1bfa0d14813b58fae5dbd054
FastStone Soft,FastStone Capture,ca09b8f8e8f5110b750f3853d2cf03a526098434
LastPass US LP.,LastPass,e84d2632d81f81f6f3911db2f118501df419f420
"VanDyke Software, Inc.",SecureCRT,fd530c1a125bbdea223c99b9682e881270271995
GOG.com,GOG Galaxy,e6af7508cec6c0dd951db34faca58fb84471f3ea
"UltraEdit, Inc.",UltraEdit,ef58ccc49663887433ced5554466a9e5c3280a1d
GOM & Company,GOM Player,39e3659d0c4495d3e38e958e6a8020405f71cf90
Dominik Reichl,KeePass,ed1a56b9d794c2b695bf5d587fdf6cdb121a56fa
Oracle Corporation,Java(TM) Platform SE 7 U79,e77eb68c3d199a6d15c44d784e9ed06c60ac196b
AM Crypto,VeraCrypt,8e61431a87d3121d519a9157c1b712a4778dad89
"AgileBits, Inc.",1Password,c30e231003e4421b6481938959d2faaefee508dd
GP Software,Directory Opus,ddbfe6f6855192a8631459d3cc8f58e09f8bcc25
"Zhuhai Kingsoft Office Software Co.,Ltd",WPS Office,ff04e66fb45fc47603472104ffa7b7180619ed47
ShareX Team,ShareX,bb5fcea481dee7f21cbcef376b1f8c4d8386c19b
Geek Uninstaller,Geek-Uninstaller,515df2a9fb35beef25d070b688d692646f0a1c8f
Oracle and/or its affiliates,Oracle VM VirtualBox,fd44e26235d919932d30a10acea01e3d3b0de48c
"Epic Games, Inc.",Unreal Engine,fc7593973995945953c56105f42d9313b4179890
WiseCleaner.com,Wise Disk Cleaner,36e318fae991e4ba622ea1f81ca9f4acdef826ee
Gen Digital Inc.,CCleaner,ff855d6ffc71f6b2156484743c7fd90251500da5
Audacity Team,Audacity,d1f5013ae1c8295d116f7ddd44d2507328b19b31
Ammyy LLC,Ammyy Admin,5d7cb1a2ca7db04edf23dd3ed41125c8c867b0ad
Termius Corporation,Termius,f73f59eb53cbd53c3777a084bbe7d052e5f7c30b
Sogou.com,搜狗输入法,ffa3bb9c687a47c016cdaa68f4695b2926136ba2
Sogou,QQ拼音输入法 剪贴板,fcf5ff698d5a11bc587017a996f1268383096693
Malwarebytes,Malwarebytes,f4ce66f16fee53215531d692ffb72101740690b5
Monitoring Client,OneDrive,45bca01e0f2cdb3597eaa331b8885f17d791de90
voidtools,Everything,fd3fe99212ac32f070243a67878201aaf1fd9d4b
 Foxit Software Inc,Foxit Reader,c04bf6987d65eaba31b0cb15b5ebe3a666a5606d
HandBrake Team,HandBrake,9fe29cdb1b783dee8bb2ba64789e821253577d27
"Riot Games, Inc.",Riot Client,0083c73f5fdaf2361d9c62bd7d796b749086487e
Martin Prikryl,WinSCP,feca2ab0bd116a0e909906eeea47aeb66a4ca845
"GitHub, Inc.",Atom,fa77127cc358d50aa4401135a992edcda22e81fa
Aagon GmbH,Aagon Client Management Platform,ffec53e130dab52487f9bcf7ab75cd8e70762e61
Skype Technologies,Skype,ff20ff07275c6a1c0ea3ebd371786b900435e183
Piriform Software Ltd,CCleaner,fb8a5483428b234ec93b188576302e08ebd01c26
BleachBit,BleachBit,f2a5012b7d9e5877505018c9e6e29c8caebc14dc
IObit,IObit Uninstaller,de4f56af09416aec8a0963db09213152dc7c029d
"Dropbox, Inc.",Dropbox,da6fb067caa52f780bfe9e7aaee6ca5f7086fe26
OriginLab Corporation,Origin,f4d8991f01dbdc40b27cb86d505ee10c85a9ba53
株式会社ディー・オー・エス,ss1DevWMI,f7da56e56533f3466771adff9bd379e372a7dbd8
Tencent,腾讯电脑管家,f1e093a54691faa09849db628c0a988a8eef84be
360.cn,360安全卫士,f47dc240f012bc9233950a66fe6664870dabfcc3
Uniface B.V.,Uniface,f9630f3717f1920281693082a88edbf3ad7e4cc1
Sofiane Fares | François Bridonneau | A2C Matériaux,A2C - Vérif,ff193255e2018e9366eec18e61d88ffa4bd05699
Alexander Roshal,WinRAR,fdc3009ea9727d87224a53c19046d1d6c8d70884
Mobatek,MobaXterm,f5ca50ee8bc9d01760c7d0d4fc0c814cbbf26bc9
Ubisoft,Ubisoft Connect,edd8c6d66d582fc62bd3c836e21ac016120e8b73
"IDM Computer Solutions, Inc.",UltraEdit,d918b4db936ca3e41f93d874e5ce0dc77baedd18
360.cn,360压缩,f660193cfc64012c323736b20ab43156140d412f
Zotero,Zotero,d695cf1b3949c674328ff836a03c1dc29ff6e582
Bandisoft.com,Bandizip,d330d453f18d86dcfa5ef7fba0c5c9f266477c5a
GlavSoft LLC.,TightVNC,fceb4c7708dd34dfa72a76b302782891fde4bdd3
Discord Inc.,Discord,e674f0509c998b170acd80017ea63a8fd2476b13
TeamViewer GmbH,TeamViewer,fe341152fb636c54487ea3807e11b5ad79221515
dotPDN LLC,Paint.NET,ed41bc52f274b77f6f121a80a3dfb3db106fc8e9
Oracle Corporation,Oracle VM VirtualBox,daee49684142f1cd9a6d4a5469ec0cba26a490bf
OBS,OBS Studio,f0e910b6d5da4a2601e202de95c25517be3f271d
SOURCENEXT CORPORATION,筆王,b2709fba065e1366ce570e4d80ae54fbce4c29ad
Nanosystems S.r.l.,Supremo,058c2fa8408fbb80639ee224556a886fea4ebb2e
NGWIN,PicPick,fdc5ea3c3e8f2f43130330e85587d3a359106f8b
UltraVNC,UltraVNC,fed36ba4336e4ac726bcabc0148104dd739b05c9
Skillbrains,Lightshot,fa7b69793454131a5b21b32867533305651e2dd4
Corporation for Digital Scholarship,Zotero,fb1c15ac6e999d8ca65e832e3ecb58a763d69014
株式会社 フォワード,ゲートウェイログ照会,f667f777ef42f78bdc397a5ceae806a5f1d9779f
Oracle Corporation,Java(TM) Platform SE 17.0.1,a11cd33a675d228c9cf6f1fb3340abc38d35067c
Kingsoft Corp. Ltd.,WPS Office,64dbe4c105a9780af5a313c75efe9ba2cd9968c1
Movavi,Movavi Video Converter,910b5ff01e62f8a8862e7b1d274865d1a1a459a8
Xrev,Transmit,26f3af72b2f03f674b7680c091c3ddcbfb24c758
